sichoson,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20
神崎町,50,50,50,50,50,50,50,50,51,51,51,51,51,51,52,52,52,52,53,53,53,54,54,56,58,58,59,62,64,67,74,74,74,74,75,75,77,78,78,79,85,86,86,87,87,88,90,92,92,92,96
多古町,81,81,81,81,82,82,82,82,82,82,82,82,85,89,91,93,94,97,99,104,104,108,108,116,118,123,130,138,147,161,163,163,168,176,182,183,188,193,194,196,202,204,213,224,227,229,233,240,245,248,256
東庄町,148,148,148,148,148,148,148,148,148,148,150,150,150,150,150,150,150,151,151,154,154,156,158,164,165,166,185,188,189,190,190,190,194,197,199,200,205,207,208,213,217,217,222,226,227,230,233,235,237,243,245
九十九里町,108,108,108,108,108,108,108,109,109,109,109,110,110,110,110,110,110,110,112,112,113,114,116,117,120,123,125,126,142,144,149,152,153,156,164,173,178,189,193,201,208,209,215,223,227,235,239,242,248,259,265
芝山町,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,69,71,71,71,71,71,71,75,76,77,78,79,81,86,92,92,94,96,98,100,102,107,113,120,125,129,130,137,139,140,142,147,150,155,165
横芝光町,189,189,189,189,189,189,189,189,189,189,190,192,195,195,195,195,199,200,205,207,215,222,226,235,242,245,246,252,260,264,279,282,291,296,304,317,333,342,350,365,375,387,399,412,421,425,432,438,445,453,465
一宮町,113,113,113,113,113,113,113,113,117,117,120,120,121,123,124,133,133,142,152,156,170,173,182,191,196,197,207,208,212,218,225,228,231,237,240,242,249,253,262,264,273,276,282,292,296,306,316,334,346,355,360
睦沢町,38,38,38,38,38,38,38,41,43,43,44,44,44,45,46,46,46,47,48,49,50,51,52,54,56,56,62,63,64,70,72,72,72,72,72,75,79,80,81,81,83,85,88,90,91,91,91,95,95,96,99
長生村,131,131,131,131,131,131,131,131,131,131,131,132,132,136,140,142,142,145,149,149,151,154,164,164,166,168,178,183,187,204,212,222,225,232,239,243,255,270,279,285,302,309,317,325,329,339,341,354,357,366,370
白子町,67,67,67,67,67,67,67,67,67,67,67,69,69,71,74,79,80,86,87,91,93,93,96,98,101,102,104,104,109,112,114,116,118,124,126,132,138,142,146,149,151,154,156,158,159,160,162,167,172,174,176
長柄町,51,51,51,51,51,51,51,51,51,51,51,51,52,52,54,54,54,57,57,58,60,62,63,64,65,65,67,67,70,72,75,76,76,78,78,84,87,92,98,100,104,108,110,112,115,118,118,125,125,130,132
長南町,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,78,78,79,82,85,85,85,86,86,87,88,89,90,92,93,98,98,107,113,118,129,133,134,138,139,143,145,150,152,157,163,166,167
大多喜町,36,36,36,36,36,36,36,36,36,36,36,40,42,42,42,42,48,48,50,51,53,53,60,60,63,63,64,65,69,73,74,77,79,84,85,88,89,91,93,96,96,97,98,98,98,103,107,107,107,110,113
御宿町,49,49,49,49,49,49,49,49,49,49,49,49,50,52,52,52,52,53,55,56,59,59,59,63,63,63,63,67,69,71,76,80,82,88,89,90,94,95,99,102,106,113,116,116,116,117,123,124,125,126,127
鋸南町,62,62,62,62,62,62,62,62,62,62,62,63,64,66,67,74,74,75,76,76,76,76,78,78,79,83,90,92,97,100,100,102,106,108,110,111,114,117,120,125,130,134,142,142,142,142,143,144,146,148,149
